label,n_traveltimes,mean_abs_dt_ms,median_abs_dt_ms,p90_abs_dt_ms,p95_abs_dt_ms,p99_abs_dt_ms,max_abs_dt_ms,mean_percent_change,p95_abs_percent_change,receiver_spacing_m,shot_spacing_m,receiver_halfwidth_m,shot_halfwidth_m,receiver_count_approx,shot_count_approx
r2_s1_rhw75_shw100,14978,0.06759139746281528,0.05596388192326794,0.14331471205644092,0.17092052659393245,0.22812688444757162,0.326091156900174,0.04310136796027734,1.96245524340238,2,1,75,100,76,201
r2_s2_rhw25_shw40,999,0.0808772213492841,0.06846127135551197,0.16489052345836608,0.1947669165593065,0.24572285079290931,0.2946820569584216,0.10053431560854037,3.4608502765913856,2,2,25,40,26,41
r2_s2_rhw25_shw60,1499,0.07893929274478624,0.06737590315427852,0.16285671382151176,0.1909191022237775,0.24364785842529635,0.2946820569584216,0.0906885384390896,2.914969437386789,2,2,25,60,26,61
r2_s2_rhw25_shw80,1999,0.07587089651585618,0.06447082889068922,0.15510868142638026,0.17959646942461974,0.23989987259815626,0.2946820569584216,0.07418807737422821,2.348232198666985,2,2,25,80,26,81
r2_s2_rhw25_shw100,2499,0.07206963346520015,0.060806310779889725,0.1444483010016457,0.1736009002970901,0.23578707233128285,0.2946820569584216,0.061126077147178555,1.9739631255394778,2,2,25,100,26,101
r2_s2_rhw35_shw40,1399,0.0796446918255069,0.06798267126414612,0.16200903472685033,0.1934360043532524,0.24618876407329265,0.2994514643411168,0.12421470697781595,3.3671581933481107,2,2,35,40,36,41
r2_s2_rhw35_shw60,2099,0.07720762319650629,0.06681256564244897,0.15688823744793162,0.18596851068082448,0.24270362385630723,0.2994514643411168,0.09785117456988544,2.8291601387281484,2,2,35,60,36,61
r2_s2_rhw35_shw80,2799,0.07390640029935426,0.06264621234720186,0.1497689790007119,0.17619499687961165,0.23649503155321994,0.2994514643411168,0.0781167109489619,2.325534698119699,2,2,35,80,36,81
r2_s2_rhw35_shw100,3499,0.06957464068093012,0.05824146659728913,0.14135448414456173,0.1710424699936585,0.22998868071303688,0.2994514643411168,0.06350946783009803,1.9383729636557039,2,2,35,100,36,101
r2_s2_rhw50_shw40,2049,0.08197452799364277,0.06874645309777605,0.1671047519053233,0.1984411570756779,0.2549462465912237,0.326091156900174,0.08957567591765184,3.2761267752218908,2,2,50,40,51,41
r2_s2_rhw50_shw60,3059,0.07945773831829471,0.06773746455469203,0.16455528929263907,0.19429467672800396,0.2449532931206947,0.326091156900174,0.07416754844680193,3.03079161849647,2,2,50,60,51,61
r2_s2_rhw50_shw80,4079,0.07609551485034136,0.06391263460629043,0.15717085499073025,0.18553780623652363,0.23927902710190424,0.326091156900174,0.07283744918086481,2.4865628208660207,2,2,50,80,51,81
r2_s2_rhw50_shw100,5099,0.07181829702221987,0.05870759765970457,0.15136295106281394,0.1759244901227496,0.23395619807717827,0.326091156900174,0.06615919748050536,2.089865172953569,2,2,50,100,51,101
r2_s2_rhw75_shw40,3033,0.07858035370738466,0.0671010380258151,0.16209243414723673,0.19029941833872002,0.24501672995769191,0.326091156900174,0.09070422049790687,2.589127637700748,2,2,75,40,76,41
r2_s2_rhw75_shw60,4513,0.07607942968288077,0.06478146234847534,0.15687117729911612,0.18465107666515626,0.23991582448421972,0.326091156900174,0.08213339357946449,2.4818557956138,2,2,75,60,76,61
r2_s2_rhw75_shw80,5999,0.07251116027334449,0.060238171211637534,0.15105791853436132,0.17729054898693897,0.2357347065825628,0.326091156900174,0.07849583021392448,2.160209820835612,2,2,75,80,76,81
r2_s2_rhw75_shw100,7499,0.06777036688076044,0.055470580213157206,0.14389712070991684,0.17110901448604346,0.2290493659143593,0.326091156900174,0.06885495133654738,1.880274209571338,2,2,75,100,76,101
r2_s4_rhw25_shw40,512,0.08604092317758119,0.07554708481370556,0.17548592557898102,0.20132381659898885,0.24974365841651167,0.2946820569584216,0.1927220332891867,3.125331303425292,2,4,25,40,26,21
r2_s4_rhw25_shw60,762,0.0842698784756014,0.07424512655014419,0.17423636922970878,0.19849592391706286,0.24558718360508003,0.2946820569584216,0.13890403920270925,2.65528020399805,2,4,25,60,26,31
r2_s4_rhw25_shw80,1012,0.07989959287276566,0.06814382088590668,0.16524607000238978,0.19116657524868902,0.2435379704741232,0.2946820569584216,0.117316331532732,2.298528923508786,2,4,25,80,26,41
r2_s4_rhw25_shw100,1262,0.07533443597247722,0.06372768223738938,0.1514329707916299,0.1814925732782029,0.2417468987962401,0.2946820569584216,0.09588793135801094,1.9296365863438512,2,4,25,100,26,51
r2_s4_rhw35_shw40,718,0.08507670432510502,0.07339572870857305,0.1756934178171497,0.20428033522387856,0.2605513600869815,0.2994514643411168,0.20828933007008457,3.1515191389660004,2,4,35,40,36,21
r2_s4_rhw35_shw60,1068,0.08280029664261483,0.07211602698585245,0.1714409480426024,0.19746137106895967,0.24725647329333084,0.2994514643411168,0.13773224565240155,2.6551046536165797,2,4,35,60,36,31
